Message,Label
send yetty number pls,0
1 000 cash 2 000 prize claim call09050000327,1
hey babe going ever figure going new year,0
let use next week princess,0
nice talking please dont forget pix want see,0
ummmmmaah many many happy return day dear sweet heart happy birthday dear,0
mine like fr china noisy,0
hi spoke maneesha v like know satisfied experience reply toll free yes,0
feel nauseous pissed eat sweet week cause today planning pig dieting week hungry,0
oh shit thought trip loooooool make much sense grin sofa reference sleep couch link sent went trip oh babe go celebration rent,0
frnd necesity life imagine urself witout frnd hw u feel ur colleg wat u wth ur cell wat abt function thnk abt event espe cared missed amp irritated u 4wrd dear loving frnds wthout u cant live jst takecare goodmorning,0
please call customer service representative freephone 0808 145 4742 9am 11pm guaranteed 1000 cash 5000 prize,1
online transaction,0
hello going village pub 8 either come accordingly ok,0
buzzzz grin buzz as buzz chest buzz cock keep phone vibrator feel shake,0
got rumour going buy apartment chennai,0
call message missed call,0
sorry call later,0
many people seems special first sight remain special till last sight maintain till life end take cr da,0
83039 62735 450 uk break accommodationvouchers term condition apply 2 claim mustprovide claim number 15541,1
er enjoyin indian mo yep sall good hehe hows bout u shexy pete xx,0
ok ill tell company,0
heard u4 call night knickers make beg like u last time 01223585236 xx luv nikiyu4 net,1
pete phone still jenny college leanne,0
amazing quote sometimes life difficult decide whats wrong lie brings smile truth brings tear,0
hi harish rent transfred ur acnt,0
yar say got error,0
gonna worry nothing give money use,0
yup free,0
keep seeing weird shit bein woah realising actually reasonable oh,0
reminder downloaded content already paid goto http doit mymoby tv collect content,1
guaranteed 1000 cash 2000 prize claim yr prize call customer service representative 08714712412 10am 7pm cost 10p,1
none happening til get though,0
yeh indian nice tho kane bit shud go 4 drink sometime soon mite hav 2 go 2 da work 4 laugh soon love pete x x,0
first gained lt gt kg since took second done blood sugar test ok blood pressure within normal limit worry,0
thing ape u fight death keep something minute u let go thats,0
cant pick phone right pls send message,0
ha u jus ate honey ar sweet,0
thats cool want please,0
evo download flash jealous,0
nice day impressively sensible went home early feel fine boring remember,0
cheer callin babe sozi culdnt talkbut wannatell u detail later wenwecan chat properly x,0
u love someone dont make love u much u love much dont want loved anyone except gud nit,0
hello sort town already dont rush home eating nacho let know eta,0
night worrying appt shame missed girl night quiz popcorn hair,0
wife knew time murder exactly,0
well meant opposed drunken night,0
cheer message zogtorius staring phone age deciding whether text,0
urgent trying contact last weekend draw show 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs,1
much u trying get,0
like cheap happy splash wine make feel better,0
hope enjoyed new content text stop 61610 unsubscribe help 08712400602450p provided tones2you co uk,1
ok lor town lei,0
say dying man feel sad go wanted know would probably gone late night,0
driving raining get caught e mrt station lor,0
got smaller capacity one quite ex,0
tonight yeah,0
dear got train seat mine lower seat,0
daddy bb,0
taught ranjith sir called sm like becaus he verifying project prabu told today pa dont mistake,0
k need login anything,0
surly ill give coming review,0
jus finished avatar nigro,0
nooooooo gonna bored death day cable internet outage,0
good morning plz call sir,0
u switch fone dammit,0
think da wil,0
ü still got lesson ü sch,0
romcapspam everyone around responding well presence since warm outgoing bringing real breath sunshine,1
cant pick phone right pls send message,0
sorry brah finished last exam,0
say bold torch later one torch 2bold,0
total disappointment texted craziest shit got,0
alright new goal,0
got take 2 take part wrc rally oz u lucozade energy text rally le 61200 25p see pack lucozade co uk wrc itcould u,1
reach home safe n sound liao,0
yar wanted 2 scold u yest late already got zhong se qing u ask b4 ask go w u lor n u still act real,0
hey late amk need drink tea coffee,0
ok,0
thinking u x,0
really dude friend afraid,0
phony 350 award today voda number ending xxxx selected receive 350 award match please call 08712300220 quoting claim code 3100 standard rate app,1
thank way lost,0
alright good night,0
love girl office may wonder smiling sore,0
check mail mailed varma kept copy regarding membership take care insha allah,0
got got 2 colour lor one colour quite light n e darker lor actually done styling hair,0
yup,0
ur paper today e morn aft,0
yup still coffee wif frens fren drove give lift,0
da car park,0
wat would u like 4 ur birthday,0
normally hot mail com see,0
