Preprocessed,Label
"['thanx', '4', 'e', 'brownie', 'v', 'nice']",ham
"['haha', 'okay', 'today', 'weekend', 'leh']",ham
"['cant', 'pick', 'phone', 'right', 'pls', 'send', 'message']",ham
"['huh', 'got', 'lesson', '4', 'lei', 'n', 'thinkin', 'going', 'sch', 'earlier', 'n', 'tot', 'parkin', 'kent', 'vale']",ham
"['raviyog', 'peripheral', 'bhayandar', 'east']",ham
"['yes', 'gauti', 'sehwag', 'odi', 'series']",ham
"['k', 'want', 'u', 'come']",ham
"['could', 'read', 'love', 'answered']",ham
"['hey', 'booked', '2', 'lesson', 'sun', 'liao']",ham
"['reached', 'home', 'tired', 'come', 'tomorro']",ham
"['ummmmmaah', 'many', 'many', 'happy', 'return', 'day', 'dear', 'sweet', 'heart', 'happy', 'birthday', 'dear']",ham
['okie'],ham
"['hi', 'darlin', 'cantdo', 'anythingtomorrow', 'myparents', 'aretaking', 'outfor', 'meal', 'u', 'free', 'katexxx']",ham
"['u', 'hav', 'frnd', 'name', 'ashwini', 'ur', 'college']",ham
"['yun', 'ah', 'ü', 'wkg', 'btw', 'ü', 'go', 'nu', 'sc', 'ü', 'wana', 'specialise', 'wad']",ham
"['kallis', 'ready', 'bat', '2nd', 'inning']",ham
"['ok', 'ok', 'ok', 'whats', 'ur', 'today', 'plan']",ham
"['pick', 'bout', '7', '30ish', 'time', 'going']",ham
"['howz', 'person', 'story']",ham
"['hope', 'feeling', 'great', 'pls', 'fill', 'abiola']",ham
['princess'],ham
"['download', 'many', 'ringtones', 'u', 'like', 'restriction', '1000', '2', 'choose', 'u', 'even', 'send', '2', 'yr', 'buddy', 'txt', 'sir', '80082', '3']",spam
"['come', 'life', 'brought', 'sun', 'shiny', 'warming', 'heart', 'putting', 'constant', 'smile', 'face', 'making', 'feel', 'loved', 'cared']",ham
['buy'],ham
"['see', 'see', 'maybe', 'reboot', 'ym', 'seen', 'buzz']",ham
"['oh', 'oh', 'den', 'muz', 'change', 'plan', 'liao', 'go', 'back', 'yan', 'jiu']",ham
"['eerie', 'nokia', 'tone', '4u', 'rply', 'tone', 'title', '8007', 'eg', 'tone', 'dracula', '8007', 'title', 'ghost', 'addamsfa', 'munsters', 'exorcist', 'twilight', 'www', 'getzed', 'co', 'uk', 'pobox36504w45wq', '150p']",spam
"['love', 'aathi', 'love', 'u', 'lot']",ham
"['sm', 'auction', 'brand', 'new', 'nokia', '7250', '4', 'auction', 'today', 'auction', 'free', '2', 'join', 'take', 'part', 'txt', 'nokia', '86021']",spam
"['r', 'e', 'meeting', 'tmr']",ham
