Text,Label
,ham	Howz pain?hope u r fine..
,ham	Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.
,ham	Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...
,ham	OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
,ham	Theyre doing it to lots of places. Only hospitals and medical places are safe.
,ham	How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.
,"ham	Sorry, I'll call later"
,ham	Dear :-/ why you mood off. I cant drive so i brother to drive
,ham	What happened to our yo date?
,ham	Okie ü wan meet at bishan? Cos me at bishan now. I'm not driving today.
,ham	Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?
,ham	Sorry de i went to shop.
,ham	How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
,spam	Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
,"ham	Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx"
,"ham	Aight fuck it, I'll get it later"
,ham	Lol you won't feel bad when I use her money to take you out to a steak dinner =D
,ham	:-( sad puppy noise
,"ham	Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!"
,ham	Should I head straight there or what
,ham	Yunny i'm walking in citylink now ü faster come down... Me very hungry...
,ham	K:)i will give my kvb acc details:)
,spam	Bought one ringtone and now getting texts costing 3 pound offering more tones etc
,ham	Bbq this sat at mine from 6ish. Ur welcome 2 come
,ham	Dear i have reache room
,ham	Ok lor... Or u wan me go look 4 u?
,"ham	2 celebrate my bday, y else?"
,ham	Ugh just got outta class
,ham	On the road so cant txt
,ham	Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging
,ham	Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.
,ham	Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you
,ham	Okay... I booked all already... Including the one at bugis.
